Compound,0.02 V,0.1 V,0.5 V,1.0 V,5.0 V
10^4,-2.8887E-6,-4.2502E-6,-1.59882E-5,-7.60441E-5,-0.01055
10^4,-2.73125E-6,-3.89418E-6,-1.51198E-5,-6.80058E-5,-0.00953
10^4,-2.60168E-6,-3.69403E-6,-1.44228E-5,-6.26608E-5,-0.00937
10^4,-2.53899E-6,-3.55496E-6,-1.38393E-5,-5.83102E-5,-0.00922
10^4,-2.48756E-6,-3.45576E-6,-1.33276E-5,-5.46215E-5,-0.00906
10^4,-2.45416E-6,-3.38641E-6,-1.28602E-5,-5.13713E-5,-0.0089
10^4,-2.43369E-6,-3.321E-6,-1.24493E-5,-4.84304E-5,-0.00872
10^4,-2.40143E-6,-3.27091E-6,-1.20581E-5,-4.56429E-5,-0.00853
10^4,-2.38385E-6,-3.22522E-6,-1.16962E-5,-4.29093E-5,-0.00835
10^4,-2.36039E-6,-3.17402E-6,-1.13589E-5,-4.01869E-5,-0.00818
10^4,-2.35178E-6,-3.13262E-6,-1.10326E-5,-3.74034E-5,-0.008
10^4,-2.33795E-6,-3.09015E-6,-1.07175E-5,-3.45932E-5,-0.00784
10^4,-2.31578E-6,-3.04814E-6,-1.04244E-5,-3.18029E-5,-0.00766
10^4,-2.29852E-6,-3.01204E-6,-1.03127E-5,-2.90796E-5,-0.00749
10^4,-2.28769E-6,-2.97245E-6,-1.02197E-5,-2.65027E-5,-0.00731
10^4,-2.27798E-6,-2.94076E-6,-1.0144E-5,-2.40846E-5,-0.00715
10^4,-2.25792E-6,-2.90536E-6,-9.52398E-6,-2.18331E-5,-0.00697
10^4,-2.24241E-6,-2.87126E-6,-9.30311E-6,-1.97957E-5,-0.00681
10^4,-2.23426E-6,-2.82827E-6,-9.23229E-6,-1.77735E-5,-0.00664
10^4,-2.22327E-6,-2.82427E-6,-8.5713E-6,-1.61425E-5,-0.00648
10^4,-2.21702E-6,-2.77711E-6,-8.33737E-6,-1.47321E-5,-0.00631
10^4,-2.19756E-6,-2.73509E-6,-8.1093E-6,-1.34546E-5,-0.00615
10^4,-2.18762E-6,-2.71592E-6,-7.89419E-6,-1.23084E-5,-0.006
10^4,-2.17833E-6,-2.67674E-6,-7.68498E-6,-1.12839E-5,-0.00584
10^4,-2.1726E-6,-2.6418E-6,-7.45756E-6,-1.03381E-5,-0.00569
10^4,-2.16208E-6,-2.60834E-6,-7.28567E-6,-1.04718E-5,-0.00554
10^4,-2.14854E-6,-2.60541E-6,-7.10623E-6,-8.82572E-6,-0.00539
10^4,-2.14268E-6,-2.54613E-6,-6.918E-6,-8.16088E-6,-0.00524
10^4,-2.12527E-6,-2.51687E-6,-6.73575E-6,-7.59125E-6,-0.00509
10^4,-2.11755E-6,-2.49553E-6,-6.57165E-6,-7.08118E-6,-0.00494
10^4,-2.10388E-6,-2.45925E-6,-6.42311E-6,-6.62057E-6,-0.0048
10^4,-2.09675E-6,-2.42848E-6,-6.26281E-6,-6.19406E-6,-0.00465
10^4,-2.08687E-6,-2.39718E-6,-6.07666E-6,-5.81196E-6,-0.00451
10^4,-2.07655E-6,-2.36302E-6,-5.91E-6,-5.4598E-6,-0.00437
10^4,-2.06788E-6,-2.34201E-6,-5.76347E-6,-5.13973E-6,-0.00423
10^4,-2.05949E-6,-2.31235E-6,-5.60467E-6,-5.01428E-6,-0.00409
10^4,-2.05215E-6,-2.28961E-6,-5.45217E-6,-4.5901E-6,-0.00395
10^4,-2.03678E-6,-2.28438E-6,-5.31412E-6,-4.2375E-6,-0.00382
10^4,-2.03219E-6,-2.23092E-6,-5.15969E-6,-3.90682E-6,-0.00369
10^4,-2.01996E-6,-2.20302E-6,-5.00848E-6,-3.64738E-6,-0.00355
10^4,-2.00881E-6,-2.17247E-6,-4.89258E-6,-3.36879E-6,-0.00342
10^4,-2.00654E-6,-2.14009E-6,-4.74333E-6,-3.12705E-6,-0.00329
10^4,-1.9978E-6,-2.11667E-6,-4.61246E-6,-2.94353E-6,-0.00315
10^4,-1.98053E-6,-2.08321E-6,-4.5012E-6,-2.71013E-6,-0.00303
10^4,-1.97275E-6,-2.05476E-6,-4.34458E-6,-2.52506E-6,-0.00291
10^4,-1.96485E-6,-2.03161E-6,-4.224E-6,-2.37236E-6,-0.00279
10^4,-1.95957E-6,-2.00597E-6,-4.1254E-6,-2.18939E-6,-0.00268
10^4,-1.95028E-6,-1.97777E-6,-3.96543E-6,-2.04013E-6,-0.00257
10^4,-1.93298E-6,-1.95561E-6,-3.86924E-6,-1.98835E-6,-0.00247
10^4,-1.93016E-6,-1.95217E-6,-3.76646E-6,-1.85896E-6,-0.00236
10^4,-1.91715E-6,-1.89218E-6,-3.60981E-6,-1.70502E-6,-0.00226
10^4,-1.9099E-6,-1.87423E-6,-3.51156E-6,-1.56263E-6,-0.00218
10^4,-1.90095E-6,-1.84338E-6,-3.41688E-6,-1.4286E-6,-0.00217
10^4,-1.89007E-6,-1.81687E-6,-3.25931E-6,-1.31078E-6,-0.00209
10^4,-1.88691E-6,-1.78961E-6,-3.17101E-6,-1.20777E-6,-0.00199
10^4,-1.87726E-6,-1.76653E-6,-3.05776E-6,-1.10302E-6,-0.00195
10^4,-1.86407E-6,-1.74319E-6,-2.90724E-6,-1.01333E-6,-0.0019
10^4,-1.86025E-6,-1.71544E-6,-2.83357E-6,-1.56624E-6,-0.00185
10^4,-1.85044E-6,-1.69083E-6,-2.7113E-6,-1.03097E-6,-0.0018
10^4,-1.83665E-6,-1.66734E-6,-2.57922E-6,-2.01072E-6,-0.00173
10^4,-1.8297E-6,-1.6372E-6,-2.50114E-6,-1.75812E-6,-0.00165
10^4,-1.82373E-6,-1.61754E-6,-2.37516E-6,-1.29071E-6,-0.00156
10^4,-1.81664E-6,-1.61363E-6,-2.24726E-6,-6.15941E-7,-0.00146
10^4,-1.80658E-6,-1.56525E-6,-2.17199E-6,-9.26428E-7,-0.00135
10^4,-1.79941E-6,-1.5374E-6,-2.06154E-6,-8.48382E-7,-0.00125
10^4,-1.78844E-6,-1.50837E-6,-1.95315E-6,-7.27115E-7,-0.00117
10^4,-1.78485E-6,-1.48986E-6,-1.85065E-6,-6.08819E-7,-0.00109
10^4,-1.77899E-6,-1.46206E-6,-1.77095E-6,-5.0826E-7,-0.00101
10^4,-1.76344E-6,-1.43979E-6,-1.67576E-6,-3.81926E-7,-9.15616E-4
10^4,-1.75399E-6,-1.41816E-6,-1.56389E-6,-3.148E-7,-8.2021E-4
10^4,-1.75067E-6,-1.38522E-6,-1.482E-6,-1.97922E-7,-7.31018E-4
10^4,-1.73983E-6,-1.36239E-6,-1.482E-6,-1.28005E-7,-6.49333E-4
10^4,-1.73029E-6,-1.35203E-6,-1.482E-6,-1.07714E-7,-5.69214E-4
10^4,-1.72411E-6,-1.34154E-6,-1.482E-6,-3.61747E-7,-4.9682E-4
10^4,-1.72296E-6,-1.30032E-6,-1.37931E-6,-1.39249E-7,-4.24819E-4
10^4,-1.71411E-6,-1.27572E-6,-1.28004E-6,-1.65565E-6,-3.57882E-4
10^4,-1.70527E-6,-1.24467E-6,-1.1949E-6,-3.1592E-7,-3.05862E-4
10^4,-1.69914E-6,-1.21818E-6,-1.13547E-6,-4.80743E-7,-2.59901E-4
10^4,-1.69153E-6,-1.19934E-6,-1.03267E-6,-1.63295E-7,-2.28378E-4
10^4,-1.67668E-6,-1.1737E-6,-1.02244E-6,-1.23351E-9,-1.96183E-4
10^4,-1.67099E-6,-1.15147E-6,-9.56508E-7,-3.25368E-8,-1.63962E-4
10^4,-1.67083E-6,-1.12454E-6,-9.00279E-7,-1.20912E-7,-1.34827E-4
10^4,-1.65688E-6,-1.12454E-6,-8.15845E-7,-1.0488E-6,-1.09324E-4
10^4,-1.6472E-6,-1.1051E-6,-7.35828E-7,-4.1352E-7,-8.74073E-5
10^4,-1.64001E-6,-1.08103E-6,-6.51031E-7,-1.77355E-9,-6.2637E-5
10^4,-1.62675E-6,-1.05632E-6,-5.68344E-7,1.10201E-6,-3.79746E-5
10^4,-1.62645E-6,-1.0391E-6,-5.68344E-7,2.03651E-7,-1.44565E-5
10^4,-1.61234E-6,-1.01386E-6,-4.83511E-7,2.82679E-7,-1.80453E-5
